Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2022-01-03,323.1607971191406,326.29828058631676,318.3628596847403,323.7400307283668,28865100
2022-01-04,317.61956787109375,323.59527025765954,314.82960654307294,323.2380550401067,32674300
2022-01-05,305.42681884765625,314.7813500273399,305.04067287927575,314.5785990885747,40054300
2022-01-06,303.0132751464844,307.6664106849742,300.7060043582687,302.3085376148828,39646100
2022-01-07,303.16778564453125,305.5426109592931,299.35452484498177,303.27396324795524,32720000
2022-01-10,303.3897399902344,303.8241724567646,294.1414193205087,298.77522814532057,44289500
2022-01-11,304.07525634765625,305.6488002414314,299.1614780529444,302.53064320042563,29386800
2022-01-12,307.2512512207031,312.21331483505577,306.1024475266732,308.60280577441176,34372200
2022-01-13,294.24755859375,309.7708721118795,293.4752670438378,309.3750631177134,45366000
2022-01-14,299.46075439453125,300.05928501415605,293.2340443836935,293.71673416868725,39846400
2022-01-18,292.17205810546875,299.0745146536486,291.2935593504582,293.54290976278105,42333200
2022-01-19,292.8284912109375,303.04222074165364,292.2203269969151,295.68603516166604,45933900
2022-01-20,291.1584777832031,300.8605304633222,290.71441143988926,298.3698641905101,35380700
2022-01-21,285.7812805175781,293.58153359567393,285.37580818130317,292.2107112599279,57984400
2022-01-24,286.1094970703125,286.82386842126607,266.49297997417904,282.08388134377833,85731500
2022-01-25,278.50238037109375,284.77734842437496,275.2973421558161,281.4274796851813,72848600
2022-01-26,286.437744140625,297.8195767322565,282.8851546395586,297.32722375809846,90428900
2022-01-27,289.45947265625,296.66119763950957,287.6155937222913,292.18185073430755,53481300
2022-01-28,297.5879211425781,297.8003058303216,284.2560313928482,289.8359242315118,49743700
2022-01-31,300.21368408203125,301.5652092942881,295.76326991115974,298.2539651589988,46444500
2022-02-01,298.0705871582031,299.875842129487,294.5662548205134,299.66345745868625,40950400
2022-02-02,302.6077880859375,304.2103212643303,298.1863638408111,298.91039831810093,36636000
2022-02-03,290.820556640625,300.4550540690847,289.57520891247447,298.7752738080084,43730000
2022-02-04,295.34814453125,298.10911517984084,289.58482894873913,289.8165105525263,35096500
2022-02-07,290.5309753417969,297.1824248464775,289.5173091795903,295.57025756283554,28533300
2022-02-08,294.0160217285156,294.9814013715594,289.5656357153874,290.8206174669248,32421200
2022-02-09,300.4356689453125,301.1307431856092,296.74794259085735,299.1420642821841,31284700
2022-02-10,291.9114074707031,298.4180547485802,290.28957726166584,293.51394069905155,45386200
2022-02-11,284.8255920410156,293.7553529211515,284.03397373558494,292.69342951887205,39175600
2022-02-14,284.7869873046875,286.48606485987114,281.26335759126283,283.5995597685924,36359500
2022-02-15,290.0675964355469,290.3861587262389,286.7370251821731,289.62353008877903,27058300
2022-02-16,289.7289733886719,291.05427315111,284.09884067695083,288.6358343081328,29982100
2022-02-17,281.2451171875,287.1170646088115,280.53892237568306,286.6914169855192,32461600
2022-02-18,278.5364074707031,284.2729368294198,276.96926395825363,283.489365073195,34264000
2022-02-22,278.3333740234375,282.028756766497,275.21842268075903,275.70211059408194,41736100
2022-02-23,271.1263427734375,282.1834680729997,270.9619054573808,280.7130382995433,37811200
2022-02-24,284.9792175292969,285.5306287899003,262.6618519792794,263.61957404294975,56989700
2022-02-25,287.6104736328125,287.92004094921725,282.1351235020053,285.51128484773926,32546700
2022-02-28,289.04217529296875,289.38076267083534,283.44106207991604,284.7083218045915,34627500
2022-03-01,285.3274841308594,290.18369968046295,282.61881436647946,286.7301612299099,31217800
2022-03-02,290.396484375,291.63472396488993,284.1182261639909,285.7240436842559,31873000
2022-03-03,286.2657470703125,293.24051557735214,284.45673023777056,293.0083549237446,27314500
2022-03-04,280.4034118652344,286.0142067501704,277.80119926818253,284.6889072106973,32356500
2022-03-07,269.8106689453125,280.2389742899834,269.44306157989746,279.116815314173,43157200
2022-03-08,266.8505554199219,274.69595707889357,261.1914024621827,268.736920057862,48159500
2022-03-09,279.0878601074219,280.1519791699358,271.6197193077244,274.192941941818,35204500
2022-03-10,276.2728271484375,277.24988606847967,271.4262653649747,273.7866644734184,30628000
2022-03-11,270.93292236328125,280.06495143344847,270.31378773793114,278.5655013687833,27209300
2022-03-14,267.4213562011719,276.08903470394495,266.821587956301,271.19411574307355,30660700
2022-03-15,277.7818908691406,278.4300454950149,269.63660504784883,271.2037487581612,34245100
2022-03-16,284.7857360839844,284.9598566183486,273.960800034903,279.67796423359994,37826300
2022-03-17,285.58868408203125,285.96594529158506,279.9295297629921,283.7216558783688,30816600
2022-03-18,290.62860107421875,291.1800121692439,283.1798277784117,285.73368363007364,43390600
2022-03-21,289.4000244140625,290.34806292154207,285.278995817043,289.1388436873888,28351200
2022-03-22,294.14019775390625,295.0495331029309,289.0227729955793,290.0191685986224,27599700
2022-03-23,289.7193298339844,293.3373349131294,288.0070855267432,290.7060719110069,25715400
2022-03-24,294.1789245605469,294.2756680245102,288.58749479820733,289.380749871962,24484500
2022-03-25,293.7725830078125,295.5332134926127,289.5258199394837,295.27203273707045,22566500
2022-03-28,300.5635986328125,300.66031257135194,294.4013915103594,294.4013915103594,29578200
2022-03-29,305.1199645996094,305.51659216822173,298.967439967182,303.66890108993795,30393400
2022-03-30,303.6205139160156,305.6423550476428,301.41489856711223,303.52379996649006,28163600
2022-03-31,298.2515869140625,304.858779193998,297.84530566978634,303.6592133025089,33422100
2022-04-01,299.3254089355469,300.0122374321194,295.5719864101128,299.2770224362612,27110500
2022-04-04,304.6943359375,304.8297531887579,299.60593013266003,299.9735376348756,24289600
2022-04-05,300.7377624511719,304.5975820485766,299.7607035467808,303.04977502360924,23156700
2022-04-06,289.7289733886719,296.9842899176036,287.0299873737609,295.23334255704475,40110400
2022-04-07,291.5379638671875,293.7435789334034,286.6817492492974,286.9816333071018,31411200
2022-04-08,287.2815246582031,291.2961273756615,286.6140331520905,290.6383190722913,24361900
2022-04-11,275.9535827636719,283.06377005501855,275.70205565183903,282.27054447193905,34569300
2022-04-12,272.8579406738281,281.2547532210791,271.3391540006482,279.80368992052826,30966700
2022-04-13,278.2366027832031,279.1652752180004,272.12278108336227,273.5061508141746,21907200
2022-04-14,270.7007141113281,278.9040702197633,270.2073726066549,278.6912463967013,28221600
2022-04-18,271.3682556152344,273.2449670762064,269.2593834034509,269.8107947085954,20778000
2022-04-19,275.9922790527344,276.8339207213191,269.3270757429713,270.2654313652648,22297700
2022-04-20,277.0177001953125,280.2487611166092,276.0600076685243,279.9585306840921,22906700
2022-04-21,271.6488037109375,283.7313183472666,270.92327184043955,279.1653032613877,29454600
2022-04-22,265.08990478515625,273.960751032886,264.46111662000084,272.4903213915854,29405800
2022-04-25,271.5616760253906,271.93893715298736,261.9362771237636,264.3740824976134,35678900
2022-04-26,261.40423583984375,269.2786578732366,261.1914120269434,268.4467290276918,46518400
2022-04-27,273.9800720214844,281.47723164656276,270.05253011513526,272.896616257244,63477700
2022-04-28,280.1809997558594,281.4869627202717,272.2775281140742,275.88584973003594,33646600
2022-04-29,268.4660949707031,280.4228740335642,267.4793823797048,279.1942879944,37073900
